age,gender,marital_status,occupation,monthly_income,educational_qualifications,family_size,latitude,longitude,pin_code,output,feedback,unnamed:_12,coordinates,area
20,Female,Single,Student,0,Post Graduate,4,12.9766,77.5993,560001,Yes,Positive,Yes,"12.9766,77.5993",Central Bengaluru
24,Female,Single,Student,5000,Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
22,Male,Single,Student,5000,Post Graduate,3,12.9551,77.6593,560017,Yes,Negative ,Yes,"12.9551,77.6593",East Bengaluru
22,Female,Single,Student,0,Graduate,6,12.9473,77.5616,560019,Yes,Positive,Yes,"12.9473,77.5616",Central Bengaluru
22,Male,Single,Student,5000,Post Graduate,4,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
27,Female,Married,Employee,75000,Post Graduate,2,12.9299,77.6848,560103,Yes,Positive,Yes,"12.9299,77.6848",East Bengaluru
22,Male,Single,Student,0,Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
24,Female,Single,Student,0,Post Graduate,3,12.9828,77.6131,560042,Yes,Positive,Yes,"12.9828,77.6131",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,2,12.9766,77.5993,560001,Yes,Positive,Yes,"12.9766,77.5993",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,4,12.9854,77.7081,560048,Yes,Positive,Yes,"12.9854,77.7081",East Bengaluru
22,Female,Single,Student,0,Post Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
23,Male,Single,Student,5000,Post Graduate,2,12.977,77.5773,560009,Yes,Negative ,Yes,"12.977,77.5773",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,5,12.8988,77.5764,560078,Yes,Positive,Yes,"12.8988,77.5764",South Bengaluru
21,Male,Single,Student,0,Graduate,4,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Female,Single,Self Employeed,17500,Post Graduate,5,12.9438,77.5738,560004,Yes,Positive,Yes,"12.9438,77.5738",Central Bengaluru
24,Female,Single,Student,0,Post Graduate,6,12.8893,77.6399,560068,Yes,Positive,Yes,"12.8893,77.6399",East Bengaluru
28,Female,Single,Employee,37500,Post Graduate,2,12.9783,77.6408,560038,Yes,Positive,Yes,"12.9783,77.6408",East Bengaluru
23,Female,Single,Student,0,Graduate,3,12.982,77.6256,560008,Yes,Negative ,Yes,"12.982,77.6256",East Bengaluru
25,Male,Single,Student,0,Graduate,4,12.8988,77.5764,560078,Yes,Negative ,Yes,"12.8988,77.5764",South Bengaluru
21,Female,Single,Student,5000,Post Graduate,1,12.9783,77.6408,560038,Yes,Positive,Yes,"12.9783,77.6408",East Bengaluru
24,Male,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
22,Male,Single,Student,0,Post Graduate,4,13.0298,77.6047,560032,Yes,Positive,Yes,"13.0298,77.6047",North Bengaluru
22,Female,Single,Student,0,Graduate,4,12.9983,77.6409,560033,Yes,Positive,Yes,"12.9983,77.6409",East Bengaluru
23,Male,Single,Student,0,Graduate,4,12.9925,77.5633,560021,Yes,Positive,Yes,"12.9925,77.5633",Central Bengaluru
21,Male,Single,Student,5000,Post Graduate,3,12.9306,77.5434,560085,Yes,Positive,Yes,"12.9306,77.5434",Central Bengaluru
25,Male,Single,Student,0,Post Graduate,3,12.982,77.6256,560008,Yes,Positive,Yes,"12.982,77.6256",East Bengaluru
22,Female,Single,Student,0,Post Graduate,5,12.9353,77.5585,560050,Yes,Positive,Yes,"12.9353,77.5585",Central Bengaluru
22,Male,Single,Student,0,Post Graduate,3,12.9155,77.5135,560098,Yes,Positive,Yes,"12.9155,77.5135",South Bengaluru
23,Female,Single,Employee,17500,Graduate,3,12.9854,77.7081,560048,Yes,Positive,Yes,"12.9854,77.7081",East Bengaluru
22,Male,Single,Student,5000,Post Graduate,4,13.0019,77.5713,560003,Yes,Positive,Yes,"13.0019,77.5713",North Bengaluru
22,Female,Single,Employee,17500,Graduate,5,12.9698,77.75,560066,Yes,Positive,Yes,"12.9698,77.75",East Bengaluru
22,Male,Single,Student,0,Post Graduate,4,12.9783,77.6408,560038,Yes,Positive,Yes,"12.9783,77.6408",East Bengaluru
25,Male,Married,Employee,75000,Ph.D,4,12.9261,77.6221,560034,Yes,Positive,Yes,"12.9261,77.6221",East Bengaluru
22,Female,Single,Student,17500,Post Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
22,Female,Single,Student,0,Post Graduate,2,12.9119,77.6446,560102,Yes,Positive,Yes,"12.9119,77.6446",East Bengaluru
25,Male,Single,Student,17500,Post Graduate,3,12.9306,77.5434,560085,Yes,Positive,Yes,"12.9306,77.5434",Central Bengaluru
25,Male,Single,Student,0,Post Graduate,5,12.977,77.5773,560009,No,Positive,No,"12.977,77.5773",Central Bengaluru
32,Female,Prefer not to say,House wife,0,Graduate,5,12.982,77.6256,560008,Yes,Negative ,Yes,"12.982,77.6256",East Bengaluru
23,Female,Single,Student,0,Post Graduate,3,12.9438,77.5738,560004,Yes,Positive,Yes,"12.9438,77.5738",Central Bengaluru
23,Female,Single,Student,0,Post Graduate,4,12.8988,77.5764,560078,Yes,Positive,Yes,"12.8988,77.5764",South Bengaluru
30,Male,Married,Self Employeed,75000,Uneducated,4,12.9662,77.6068,560025,Yes,Negative ,Yes,"12.9662,77.6068",Central Bengaluru
23,Male,Single,Student,0,Graduate,3,12.9565,77.5484,560026,Yes,Positive,Yes,"12.9565,77.5484",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,4,12.9925,77.5633,560021,Yes,Positive,Yes,"12.9925,77.5633",Central Bengaluru
22,Female,Single,Student,0,Post Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
22,Male,Single,Student,0,Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
27,Female,Married,Self Employeed,17500,Post Graduate,2,12.9261,77.6221,560034,Yes,Positive,Yes,"12.9261,77.6221",East Bengaluru
24,Female,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Male,Single,Student,0,Post Graduate,2,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
23,Female,Single,Student,0,Graduate,3,12.982,77.6256,560008,Yes,Negative ,Yes,"12.982,77.6256",East Bengaluru
22,Female,Single,Student,17500,Post Graduate,5,12.985,77.5533,560010,Yes,Positive,Yes,"12.985,77.5533",Central Bengaluru
23,Female,Single,Student,0,Graduate,5,13.0206,77.6479,560043,Yes,Positive,Yes,"13.0206,77.6479",East Bengaluru
23,Female,Single,Student,0,Post Graduate,2,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
24,Male,Single,Student,0,Post Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
25,Male,Single,Student,0,Post Graduate,2,12.9635,77.5821,560002,Yes,Positive,Yes,"12.9635,77.5821",Central Bengaluru
22,Male,Single,Student,0,Post Graduate,3,12.9306,77.5434,560085,Yes,Positive,Yes,"12.9306,77.5434",Central Bengaluru
28,Female,Married,Student,0,Graduate,2,13.0067,77.545,560086,Yes,Positive,Yes,"13.0067,77.545",North Bengaluru
22,Female,Single,Student,0,Post Graduate,1,12.8845,77.6036,560076,Yes,Positive,Yes,"12.8845,77.6036",South Bengaluru
24,Female,Single,Student,0,Graduate,3,12.977,77.5773,560009,Yes,Positive,Yes,"12.977,77.5773",Central Bengaluru
31,Male,Married,Employee,75000,Ph.D,5,12.9119,77.6446,560102,Yes,Positive,Yes,"12.9119,77.6446",East Bengaluru
25,Male,Single,Student,0,Post Graduate,4,13.0067,77.545,560086,Yes,Positive,Yes,"13.0067,77.545",North Bengaluru
23,Male,Single,Student,0,Post Graduate,5,12.8988,77.5764,560078,Yes,Positive,Yes,"12.8988,77.5764",South Bengaluru
22,Male,Single,Student,0,Post Graduate,3,12.8845,77.6036,560076,Yes,Positive,Yes,"12.8845,77.6036",South Bengaluru
